fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
binary,top90,7,10,5,2.084000,63.69,4.623236,31.029571,1341.060608,575.935396
binary,top90,7,10,6,1.752000,66.26,4.615697,30.940878,1348.989325,573.735544
binary,top90,7,10,7,1.560000,67.98,4.568304,30.878426,1356.477139,573.451769
binary,top90,7,10,8,1.196000,69.58,4.536651,30.591480,1363.205760,572.526848
binary,top90,7,10,9,1.036000,70.79,4.527691,30.614675,1368.055246,569.751260
binary,top90,7,10,10,0.952000,70.45,4.523158,30.803613,1378.057444,571.247831
binary,top90,7,10,11,0.880000,70.36,4.551114,30.879536,1382.267344,570.378925
binary,top90,7,10,12,0.620000,73.65,4.506506,30.849504,1389.796518,570.951731
binary,top90,7,10,13,0.516000,74.35,4.565355,31.204909,1394.703919,571.049723
binary,top90,7,10,14,0.356000,75.47,4.532627,31.173156,1400.176739,570.905939
binary,top90,7,10,15,0.324000,75.58,4.551545,31.232851,1403.022494,570.150571
binary,top90,7,10,16,0.316000,76.14,4.551917,31.218064,1404.155043,568.836606
binary,top90,7,10,17,0.264000,76.31,4.515049,30.926908,1406.878574,567.933839
binary,top90,7,10,18,0.228000,76.47,4.493751,30.990903,1408.571862,568.341659
binary,top90,7,10,19,0.168000,77.03,4.507867,31.001672,1409.717571,568.339909
binary,top90,7,10,20,0.176000,76.59,4.515475,31.014632,1410.521827,568.673321
binary,top90,7,10,21,0.160000,77.19,4.491434,30.959751,1410.533053,567.885290
binary,top90,13,20,1,6.856000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top90,13,20,2,6.140000,52.08,4.651914,31.149041,1308.143809,584.938863
binary,top90,13,20,3,5.696000,56.01,4.593601,31.469273,1319.872008,580.960855
binary,top90,13,20,4,5.228000,58.13,4.621315,31.109230,1331.745412,577.682405
binary,top90,13,20,5,4.360000,62.19,4.583247,31.128765,1342.615779,575.445329
binary,top90,13,20,6,3.772000,65.72,4.632684,31.177525,1347.438248,573.699867
