net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_per_gen,cpu_total
bypass2,egna,False,5,47,50,2,both,9,0.0,90.0,58.0,1.4100562544270006,11.006847085200466,1.3576388888888888,12.21875
bypass2,egna,False,6,48,50,2,both,6,0.0,90.0,56.0,0.9248301006790292,18.329471523235352,1.1848958333333333,7.109375
bypass2,egna,False,7,49,50,2,both,4,0.0,95.0,55.0,0.6085944998174284,9.716634775860582,1.15234375,4.609375
bypass2,egna,False,8,50,50,2,both,7,0.0,95.0,62.7,0.6667074438092427,7.868853372688739,1.1919642857142858,8.34375
bypass2,egna,False,9,51,50,2,both,6,0.0,95.0,54.0,0.8757037194688373,15.845869449209,1.1796875,7.078125
nhlv1,umda,True,0,42,50,7,utility_only,9,0.0,82.08955223880598,74.68656716417911,0.0,25.47625084072374,14.48263888888889,130.34375
nhlv1,umda,True,1,43,50,7,utility_only,8,0.0,83.5820895522388,65.9402985074627,0.0,29.058409768654467,13.953125,111.625
nhlv1,umda,True,2,44,50,7,utility_only,12,0.0,83.5820895522388,71.82089552238806,0.0,24.633874044748715,14.78125,177.375
nhlv1,umda,True,3,45,50,7,utility_only,9,0.0,83.5820895522388,67.88059701492537,0.0,27.05868355746817,16.194444444444443,145.75
nhlv1,umda,True,4,46,50,7,utility_only,11,0.0,83.5820895522388,75.85074626865672,0.0,26.54148965476944,19.764204545454547,217.40625
nhlv1,umda,True,5,47,50,7,utility_only,8,0.0,82.08955223880598,71.25373134328359,0.0,27.750076951308053,23.443359375,187.546875
nhlv1,umda,True,6,48,50,7,utility_only,5,0.0,83.5820895522388,70.50746268656717,0.0,26.0224873249972,25.865625,129.328125
nhlv1,umda,True,7,49,50,7,utility_only,10,0.0,83.5820895522388,75.70149253731343,0.0,23.07811570298948,24.565625,245.65625
nhlv1,umda,True,8,50,50,7,utility_only,27,1.0,85.07462686567165,77.13432835820895,0.0,27.35618552566338,21.861689814814813,590.265625
nhlv1,umda,True,9,51,50,7,utility_only,12,0.0,85.07462686567165,74.50746268656717,0.0,25.636262367442683,23.537760416666668,282.453125
nhlv1,umda,False,0,42,50,7,utility_only,12,0.0,77.61194029850746,71.49253731343285,0.0,24.45496174541309,23.350260416666668,280.203125
nhlv1,umda,False,1,43,50,7,utility_only,11,0.0,79.1044776119403,68.41791044776119,0.0,28.758964991505383,23.51278409090909,258.640625
nhlv1,umda,False,2,44,50,7,utility_only,17,0.0,85.07462686567165,75.67164179104478,0.0,26.63950859347717,19.875,337.875
nhlv1,umda,False,3,45,50,7,utility_only,8,0.0,83.5820895522388,73.04477611940298,0.0,24.836591638764943,20.029296875,160.234375
nhlv1,umda,False,4,46,50,7,utility_only,12,0.0,83.5820895522388,76.29850746268657,0.0,26.16972588633695,22.11328125,265.359375
nhlv1,umda,False,5,47,50,7,utility_only,9,0.0,82.08955223880598,69.99999999999999,0.0,31.53949681194797,21.81770833333333,196.359375
nhlv1,umda,False,6,48,50,7,utility_only,7,0.0,83.5820895522388,66.23880597014926,0.0,25.84097499167214,23.631696428571427,165.421875
nhlv1,umda,False,7,49,50,7,utility_only,10,0.0,85.07462686567165,73.67164179104478,0.0,24.37335166750584,20.7609375,207.609375
nhlv1,umda,False,8,50,50,7,utility_only,29,0.0,80.59701492537313,74.83582089552239,0.0,29.452479677852327,15.117995689655173,438.421875
nhlv1,umda,False,9,51,50,7,utility_only,12,0.0,85.07462686567165,76.62686567164178,0.0,26.08766547073212,14.05078125,168.609375
nhlv1,emna,True,0,42,50,7,utility_only,13,0.0,88.05970149253731,74.38805970149255,0.0,31.959626531111024,19.118990384615383,248.546875
nhlv1,emna,True,1,43,50,7,utility_only,16,0.0,97.01492537313432,74.59701492537313,0.0,29.356059410664923,14.1220703125,225.953125
