fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,fitness,accuracy,mse
binary,top70,6,30,1,2.894000,49.74,22.257634
binary,top70,6,30,2,2.916000,51.84,21.009543
binary,top70,6,30,3,2.700000,52.92,21.784672
binary,top70,6,30,4,2.542000,53.38,22.019856
binary,top70,6,30,5,2.302000,55.28,22.082928
binary,top70,6,30,6,1.978000,57.21,22.055830
binary,top70,6,30,7,1.760000,59.63,21.473320
binary,top70,6,30,8,1.488000,61.03,21.520554
binary,top70,6,30,9,1.256000,63.38,21.589114
binary,top70,6,30,10,0.954000,65.15,21.076270
binary,top70,6,30,11,0.994000,64.55,21.077136
binary,top70,6,30,12,0.716000,66.43,21.012260
binary,top70,6,30,13,0.618000,67.04,21.175218
binary,top70,6,30,14,0.404000,68.53,21.611012
binary,top70,6,30,15,0.392000,68.19,21.475326
binary,top70,6,30,16,0.322000,68.54,21.677851
binary,top70,8,40,1,3.910000,50.97,22.665635
binary,top70,8,40,2,3.706000,50.30,21.377484
binary,top70,8,40,3,3.590000,52.09,21.459175
binary,top70,8,40,4,3.446000,52.98,21.108729
binary,top70,8,40,5,3.162000,55.51,20.551523
binary,top70,8,40,6,2.778000,57.89,19.862046
binary,top70,8,40,7,2.512000,59.91,20.179036
binary,top70,8,40,8,2.294000,60.26,20.381480
binary,top70,8,40,9,1.928000,63.20,19.697254
binary,top70,8,40,10,1.652000,65.27,19.931780
binary,top70,8,40,11,1.452000,67.51,19.970886
binary,top70,8,40,12,1.250000,68.99,19.690156
binary,top70,8,40,13,1.060000,70.65,19.828574
binary,top70,8,40,14,1.116000,70.25,19.283683
binary,top70,8,40,15,0.834000,71.77,19.408512
binary,top70,8,40,16,0.732000,72.62,19.311085
binary,top70,8,40,17,0.690000,73.09,19.246019
binary,top70,8,40,18,0.660000,73.15,19.386302
binary,top70,8,40,19,0.582000,74.02,19.483788
binary,top70,8,40,20,0.526000,74.53,19.668508
binary,top70,8,40,21,0.566000,74.59,19.724747
binary,top70,8,40,22,0.494000,75.33,19.817812
binary,top90,1,5,1,0.502000,49.28,22.565431
binary,top90,1,5,2,0.442000,51.40,21.279310
binary,top90,1,5,3,0.430000,50.91,22.041031
binary,top90,1,5,4,0.262000,52.87,21.918959
binary,top90,1,5,5,0.248000,52.16,21.428466
binary,top90,1,5,6,0.168000,52.60,21.266474
binary,top90,1,5,7,0.108000,52.73,21.447412
binary,top90,1,5,8,0.108000,52.43,21.623148
binary,top90,1,5,9,0.096000,52.01,21.449367
binary,top90,1,5,10,0.074000,52.67,21.301478
binary,top90,2,10,1,1.010000,50.39,22.636432
binary,top90,2,10,2,0.878000,50.44,20.813986
binary,top90,2,10,3,0.782000,52.11,20.824260
binary,top90,2,10,4,0.684000,51.86,20.513278
binary,top90,2,10,5,0.574000,52.46,19.957912
binary,top90,2,10,6,0.518000,53.84,20.310694
binary,top90,2,10,7,0.386000,55.19,20.052345
binary,top90,2,10,8,0.348000,55.43,19.700730
binary,top90,2,10,9,0.268000,56.07,19.936356
binary,top90,2,10,10,0.218000,56.40,19.921740
binary,top90,2,10,11,0.152000,57.65,19.917705
binary,top90,2,10,12,0.148000,57.92,19.738696
