optimizer,size_gen,rep,seed,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility
emna,30,1,43,15,0.0,90.0,63.333333333333336,1.022619794894264,7.0725118598663155
emna,30,2,44,13,0.0,100.0,69.0,1.121308474057699,8.364954123605706
emna,30,3,45,18,0.0,100.0,68.0,1.2814016569778475,13.08018034478408
emna,30,4,46,20,0.0,100.0,72.33333333333333,1.3283098857690527,5.504585282231078
emna,30,5,47,18,0.0,100.0,78.5,1.2151170971482963,15.908301812582984
emna,30,6,48,14,0.0,95.0,73.16666666666667,0.9180537708477245,14.564255679025848
emna,30,7,49,14,0.0,85.0,64.66666666666667,0.9398651404315386,6.83425877204681
emna,30,8,50,15,0.0,95.0,66.5,1.2281119751568064,6.283189016495969
emna,30,9,51,12,0.0,100.0,72.33333333333333,0.815275093685032,6.958642426847043
emna,50,0,42,10,0.0,85.0,58.6,1.0222528452912831,4.657467636166301
emna,50,1,43,20,0.0,100.0,67.4,1.0533728337926827,5.800683490880972
emna,50,2,44,17,0.0,100.0,76.4,0.8422461116181872,8.403879507729934
emna,50,3,45,22,0.0,100.0,64.2,0.7051382557925518,7.966990242799282
emna,50,4,46,20,0.0,100.0,70.1,1.062908592752637,12.315772578805518
emna,50,5,47,17,0.0,85.0,67.5,0.8578627986642071,10.130702263386599
emna,50,6,48,19,0.0,100.0,74.7,1.2211469518272982,14.56352003838815
emna,50,7,49,17,0.0,100.0,59.7,0.839512228222166,7.702758472952376
emna,50,8,50,19,0.0,85.0,57.7,0.9688500745485278,8.888300372794172
emna,50,9,51,22,0.0,90.0,62.6,0.636431393573696,4.531943282569818
emna,100,0,42,8,0.0,90.0,60.45,0.5690208124192394,3.639784750013013
emna,100,1,43,8,0.0,85.0,56.8,0.7318032278838766,5.325855557659687
emna,100,2,44,13,0.0,95.0,57.75,0.5003594432016012,3.3232881398079033
emna,100,3,45,20,0.0,100.0,73.45,0.8444045797658348,15.390186205392048
emna,100,4,46,16,0.0,90.0,61.8,0.6149174052953644,4.231017903546984
emna,100,5,47,11,0.0,85.0,64.5,0.8191737308187645,4.06830175252804
emna,100,6,48,9,0.0,95.0,62.5,0.46799570584542804,5.229940014329173
emna,100,7,49,7,0.0,95.0,59.35,0.6731468215776918,1.0125365580479206
emna,100,8,50,8,0.0,95.0,60.65,0.40072738694567667,1.7506514438923344
emna,100,9,51,16,0.0,95.0,58.9,0.6556424651805093,4.589994255976766
emna,200,0,42,6,0.0,95.0,56.925,0.4184788564174377,1.6672260756307336
emna,200,1,43,6,0.0,95.0,62.0,0.3562921033893471,3.289745850752539
emna,200,2,44,6,0.0,95.0,57.675,0.3782323403744445,1.9911371746628892
emna,200,3,45,9,0.0,95.0,60.6,0.4733046377930292,2.2038585859622675
emna,200,4,46,7,0.0,100.0,59.5,0.4310276682066271,0.5038694427941459
emna,200,5,47,8,0.0,90.0,63.05,0.5184235446364773,2.8176491538986337
emna,200,6,48,7,0.0,95.0,59.725,0.4749357551774541,1.653762354507298
emna,200,7,49,6,0.0,95.0,62.35,0.463345155162025,1.4664928292274462
emna,200,8,50,6,0.0,100.0,58.55,0.42793480739608847,2.781747608185098
emna,200,9,51,6,0.0,95.0,61.05,0.38986051313746445,1.7235273933281823
egna,30,0,42,5,0.0,85.0,58.166666666666664,1.141652565812243,13.229096635975006
egna,30,1,43,7,0.0,95.0,60.833333333333336,1.1890341053840732,10.791701460152666
egna,30,2,44,12,0.0,85.0,69.66666666666667,1.2265135416984203,10.936635608496536
egna,30,3,45,8,0.0,85.0,64.5,1.0023121406304545,13.105302529460603
egna,30,4,46,8,0.0,85.0,67.33333333333333,1.0062492006066974,10.441663408638728
egna,30,5,47,6,0.0,90.0,62.0,0.7598560212775306,10.490858287246759
egna,30,6,48,11,0.0,100.0,78.66666666666667,1.60177391622667,7.6988954383265495
egna,30,7,49,10,0.0,80.0,62.166666666666664,1.158591347457527,9.440768457772016
egna,30,8,50,7,0.0,95.0,63.666666666666664,1.4049396018166342,12.223863665243295
egna,30,9,51,7,0.0,90.0,66.5,0.5879475480709427,7.694590967091063
egna,50,0,42,11,0.0,95.0,73.5,1.3242114100437892,10.733728012892483
egna,50,1,43,5,0.0,85.0,61.2,0.912369260436929,15.784843095901705
egna,50,2,44,6,0.0,85.0,66.6,0.4761192119816028,6.482894373234227
egna,50,3,45,10,0.0,85.0,62.2,1.1484126524791487,11.311504591851586
egna,50,4,46,8,0.0,85.0,59.4,0.7439823313299038,9.925629310625089
egna,50,5,47,10,0.0,100.0,68.6,0.7824940624646343,12.126273887733142
egna,50,6,48,9,0.0,100.0,73.3,0.8965855140739637,21.99471343429472
egna,50,7,49,9,0.0,100.0,62.3,0.813672042013861,8.130377601639797
egna,50,8,50,9,0.0,100.0,70.4,0.5637178919949792,11.401671652312503
egna,50,9,51,14,0.0,95.0,78.3,1.6006181656080762,10.002831255577819
egna,100,0,42,7,0.0,95.0,62.55,1.0370330033243604,9.238335202393188
egna,100,1,43,8,0.0,85.0,59.0,0.5988774557034935,4.572029236435487
egna,100,2,44,9,0.0,85.0,63.2,0.8944583128616205,6.369621138689367
egna,100,3,45,11,0.0,95.0,63.15,1.0980938764496897,7.638005261963997
egna,100,4,46,12,0.0,85.0,61.65,1.020412273490745,6.0978617189481055
egna,100,5,47,10,0.0,95.0,67.0,0.6077242477573154,6.973483642174018
egna,100,6,48,10,0.0,85.0,58.55,0.6331501262362492,8.29068841100631
egna,100,7,49,10,0.0,95.0,61.55,0.8678172617044762,7.2381349671971265
egna,100,8,50,9,0.0,85.0,61.2,0.8380120404943835,4.960142279719593
egna,100,9,51,11,0.0,95.0,64.6,0.9718633229431354,6.934528080478329
egna,200,0,42,8,0.0,95.0,59.225,0.6719467960140756,4.5975710138843064
egna,200,1,43,7,0.0,95.0,59.7,0.6861821127965542,4.981249626641487
egna,200,2,44,9,0.0,90.0,58.225,0.7288316027742423,4.800429695905381
egna,200,3,45,9,0.0,85.0,56.075,0.9082390012799151,5.733729336397563
egna,200,4,46,12,0.0,95.0,62.225,0.7821324461692187,10.36639899216202
egna,200,5,47,12,0.0,95.0,67.45,0.5842597802503976,6.906725956317545
egna,200,6,48,11,0.0,100.0,67.05,0.5958316881213681,6.770784349411891
egna,200,7,49,9,0.0,90.0,61.275,0.9070082093429571,4.571932492568679
egna,200,8,50,8,0.0,90.0,59.325,0.5774592853448217,5.250933789128393
egna,200,9,51,10,0.0,95.0,61.875,0.5689215409621596,4.660906943607058
