mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,margin,top50,4,20,10,3.639204,82.50,1.981383,22.890766,0.730707,41.724280
both,non_symmetric,1.0,1.0,margin,top50,4,20,11,3.566721,85.65,2.020205,22.933165,0.497330,41.736281
both,non_symmetric,1.0,1.0,margin,top50,4,20,12,3.368999,88.47,2.004403,22.974467,0.358135,42.110242
both,non_symmetric,1.0,1.0,margin,top50,4,20,13,3.319503,90.65,1.980907,22.770147,0.259606,42.258019
both,non_symmetric,1.0,1.0,margin,top50,4,20,14,3.193245,92.07,2.013494,22.818834,0.179750,42.530135
both,non_symmetric,1.0,1.0,margin,top50,4,20,15,3.238002,93.36,1.979029,22.833544,0.136232,42.580542
both,non_symmetric,1.0,1.0,margin,top50,4,20,16,3.345253,94.53,1.972688,22.932046,0.096818,42.732912
both,non_symmetric,1.0,1.0,margin,top50,4,20,17,3.371022,95.45,1.994474,22.969483,0.079344,42.615305
both,non_symmetric,1.0,1.0,margin,top50,4,20,18,3.425514,96.24,2.015028,23.173031,0.052802,42.659581
both,non_symmetric,1.0,1.0,margin,top50,4,20,19,3.323696,97.03,2.040760,23.124457,0.041118,42.676272
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,3.418617,97.12,2.069495,23.106534,0.031515,42.673958
both,non_symmetric,1.0,1.0,margin,top50,4,20,21,3.228008,97.59,2.056077,23.144688,0.015709,42.684459
both,non_symmetric,1.0,1.0,margin,top50,8,40,1,15.138344,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,margin,top50,8,40,2,13.259937,51.61,1.641070,19.147282,8.904934,37.187581
both,non_symmetric,1.0,1.0,margin,top50,8,40,3,12.785652,54.04,1.722638,20.210360,6.692422,38.068925
both,non_symmetric,1.0,1.0,margin,top50,8,40,4,12.425862,56.87,1.794391,20.591378,4.948732,38.616334
both,non_symmetric,1.0,1.0,margin,top50,8,40,5,11.799084,60.04,1.836402,21.460149,3.639304,38.814348
both,non_symmetric,1.0,1.0,margin,top50,8,40,6,11.209310,65.94,1.873926,21.869358,2.624679,39.175410
both,non_symmetric,1.0,1.0,margin,top50,8,40,7,10.448474,71.94,1.929587,21.978501,1.889227,39.514442
both,non_symmetric,1.0,1.0,margin,top50,8,40,8,10.031170,76.97,1.959474,22.406167,1.348838,39.846243
both,non_symmetric,1.0,1.0,margin,top50,8,40,9,9.354205,81.30,1.965127,22.698049,0.975462,40.399529
both,non_symmetric,1.0,1.0,margin,top50,8,40,10,8.520860,85.58,2.003918,23.025684,0.689246,40.838359
both,non_symmetric,1.0,1.0,margin,top50,8,40,11,8.320452,88.32,2.037578,23.215668,0.501573,41.167574
both,non_symmetric,1.0,1.0,margin,top50,8,40,12,7.782157,90.38,2.044429,23.300383,0.351537,41.531051
both,non_symmetric,1.0,1.0,margin,top50,8,40,13,7.571073,91.89,2.071719,23.381219,0.250319,41.766900
both,non_symmetric,1.0,1.0,margin,top50,8,40,14,7.467812,93.09,2.044456,23.121341,0.181966,41.851571
both,non_symmetric,1.0,1.0,margin,top50,8,40,15,7.390677,94.20,2.031705,23.222938,0.134467,41.930391
both,non_symmetric,1.0,1.0,margin,top50,8,40,16,7.676764,94.92,2.055805,23.454540,0.100051,41.949806
both,non_symmetric,1.0,1.0,margin,top50,8,40,17,7.693477,95.98,2.065695,23.282510,0.071595,42.121851
both,non_symmetric,1.0,1.0,margin,top50,8,40,18,7.502178,96.88,2.038001,23.327359,0.048126,42.040360
both,non_symmetric,1.0,1.0,margin,top50,8,40,19,7.224292,97.27,2.068188,22.964737,0.035313,42.106822
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,7.313716,98.04,2.086546,22.910576,0.024213,42.106327
both,non_symmetric,1.0,1.0,margin,top50,8,40,21,7.284941,98.17,2.083277,22.830286,0.015900,42.021261
both,non_symmetric,1.0,1.0,margin,top50,8,40,22,7.271443,98.13,2.089019,22.930895,0.014715,42.040858
both,non_symmetric,1.0,1.0,margin,top50,8,40,23,7.235350,98.22,2.091905,22.801012,0.015787,42.178807
both,non_symmetric,1.0,1.0,softmax,top50,1,5,1,1.571206,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,softmax,top50,1,5,2,0.866673,51.62,1.632209,19.252420,9.066012,37.267341
both,non_symmetric,1.0,1.0,softmax,top50,1,5,3,0.881834,52.35,1.712363,20.495463,6.835040,38.207640
both,non_symmetric,1.0,1.0,softmax,top50,1,5,4,0.842442,53.61,1.806455,21.229284,4.986123,39.337830
both,non_symmetric,1.0,1.0,softmax,top50,1,5,5,0.765599,55.73,1.873756,21.911186,3.664427,40.163395
